ID,NAME,TITLE,DATE,LOCATION,GITHUB,MOTTO,WIN,TEXT,DECK,BRACKET
the-nobles,👑 The Nobles,"Edgar Markov",,,https://archidekt.com/decks/15093247/the_nobles,"Edgar's archetypal death-of-the-king warps holy matrimony into massacre",,"<p><strong>Mardu Vampires:</strong> Edgar's <em>eminence</em> summons waves of vampires.</p><p><strong>Anthem:</strong> <a data-card-link='Legion Lieutenant'>Lieutenant</a>, <a data-card-link='Stromkirk Captain'>Captain</a>, <a data-card-link='Cordial Vampire'>Cordial</a>, <a data-card-link='Drana, Liberator of Malakir'>Drana</a>, <a data-card-link='Rakish Heir'>Heir</a>, <a data-card-link='Patchwork Banner'>Patchwork</a> & <a data-card-link='Vanquisher&#39;s Banner'>Vanquisher Banner</a>, <a data-card-link='March of the Canonized'>March</a>.</p><p><strong>Tokens:</strong> <a data-card-link='Anointed Procession'>Procession</a>, <a data-card-link='Ojer Taq, Deepest Foundation'>Ojer Taq</a>, <a data-card-link='Edgar, Charmed Groom'>Charmed Groom</a>, <a data-card-link='Mavren Fein, Dusk Apostle'>Mavren Fein</a>, <a data-card-link='Wedding Announcement'>Announcement</a>.</p><p><strong>Scaling:</strong> <a data-card-link='Roaming Throne'>Throne</a>, <a data-card-link='Bloodletter of Aclazotz'>Bloodletter</a>, <a data-card-link='Bloodthirsty Conqueror'>Conqueror</a>, <a data-card-link='Exquisite Blood'>Exquisite Blood</a>.</p><p><strong>Ramp:</strong> <a data-card-link='Sol Ring'>Ring</a>, <a data-card-link='Arcane Signet'>Signet</a>, <a data-card-link='Herald&#39;s Horn'>Horn</a>, <a data-card-link='White Lotus Tile'>Tile</a>, <a data-card-link='Seal of the Guildpact'>Seal</a>, <a data-card-link='Thought Vessel'>Vessel</a>, <a data-card-link='Smothering Tithe'>Tithe</a>, <a data-card-link='Black Market Connections'>Connections</a>.</p><p><strong>Tutors:</strong> <a data-card-link='Demonic Tutor'>Demonic</a>, <a data-card-link='Enlightened Tutor'>Enlightened</a>, <a data-card-link='Vampiric Tutor'>Vampiric</a>, <a data-card-link='Imperial Seal'>Seal</a>, <a data-card-link='Forerunner of the Legion'>Forerunner</a>.</p><p><strong>Protection:</strong> <a data-card-link='Akroma&#39;s Will'>Akroma's Will</a>, <a data-card-link='Anguished Unmaking'>Unmaking</a>, <a data-card-link='Crackling Doom'>Doom</a>, <a data-card-link='Damn'>Damn</a>, <a data-card-link='Ruinous Ultimatum'>Ultimatum</a>, <a data-card-link='Malakir Rebirth'>Rebirth</a>, <a data-card-link='Phyrexian Reclamation'>Reclamation</a>.</p><p><strong>Drain:</strong> <a data-card-link='Blood Artist'>Artist</a>, <a data-card-link='Sanctum Seeker'>Seeker</a>, <a data-card-link='Vito, Thorn of the Dusk Rose'>Vito, Thorn</a> & <a data-card-link='Vito, Fanatic of Aclazotz'>Fanatic</a>, <a data-card-link='Kamber, the Plunderer'>Kamber</a>, <a data-card-link='Anje, Maid of Dishonor'>Anje</a>.</p><p><strong>Draw:</strong> <a data-card-link='Champion of Dusk'>Champion</a>, <a data-card-link='Florian, Voldaren Scion'>Florian</a>, <a data-card-link='Baron Bertram Graywater'>Bertram</a>, <a data-card-link='Tarrian&#39;s Journal'>Tarrian's Journal</a>, <a data-card-link='Heirloom Mirror'>Mirror</a>.</p>",csv/nobles.csv,"Est. ~$1,500 · Bracket 4 (Optimized)"
the-demons,👹 The Demons,"Clavileño",,,https://archidekt.com/decks/15094042/the_demons,"Clavileño's descent invokes katabasis: Erebos standing where Aclazotz lies",,"<p><strong>Orzhov Aristocrats:</strong> Clavileño's <em>blessing</em> weaponizes death itself.</p><p><strong>Sacrifice:</strong> <a data-card-link='The Golden Throne'>Throne</a>, <a data-card-link='Phyrexian Tower'>Tower</a>, <a data-card-link='Pyre of Heroes'>Pyre</a>, <a data-card-link='Aristocrat'>Aristocrat</a>, <a data-card-link='Glass-Cast Heart'>Heart</a>, <a data-card-link='Dictate of Erebos'>Dictate</a>, <a data-card-link='Butcher of Malakir'>Butcher</a>, <a data-card-link='Master of Dark Rites'>Master</a>.</p><p><strong>Denial:</strong> <a data-card-link='Contamination'>Contamination</a>, <a data-card-link='Anowon, the Ruin Sage'>Anowon</a>, <a data-card-link='Erebos, God of the Dead'>Erebos</a>, <a data-card-link='Thoughtseize'>Thoughtseize</a>.</p><p><strong>Recurral:</strong> <a data-card-link='Helm of the Host'>Helm</a>, <a data-card-link='Lifeline'>Lifeline</a>, <a data-card-link='Whip of Erebos'>Whip</a>, <a data-card-link='Luminous Broodmoth'>Broodmoth</a>, <a data-card-link='Bishop of Rebirth'>Bishop</a>, <a data-card-link='Reanimate'>Reanimate</a>, <a data-card-link='Victimize'>Victimize</a>, <a data-card-link='Malakir Rebirth'>Rebirth</a>, <a data-card-link='Agadeem&#39;s Awakening'>Awakening</a>.</p><p><strong>Ramp:</strong> <a data-card-link='Sol Ring'>Ring</a>, <a data-card-link='Arcane Signet'>Signet</a>, <a data-card-link='Jet Medallion'>Jet</a> & <a data-card-link='Pearl Medallion'>Pearl Medallion</a>, <a data-card-link='Dark Ritual'>Ritual</a>, <a data-card-link='Vessel'>Thought Vessel</a>, <a data-card-link='Bolas&#39;s Citadel'>Citadel</a>, <a data-card-link='Three Tree City'>City</a>, <a data-card-link='Nykthos, Shrine to Nyx'>Nykthos</a>.</p><p><strong>Tutors:</strong> <a data-card-link='Demonic Tutor'>Demonic</a>, <a data-card-link='Enlightened'>Enlightened</a>, <a data-card-link='Grim'>Grim</a>, <a data-card-link='Vampiric'>Vampiric Tutors</a>, <a data-card-link='Imperial Seal'>Seal</a>, <a data-card-link='Entomb'>Entomb</a>.</p><p><strong>Protection:</strong> <a data-card-link='Anguished Unmaking'>Unmaking</a>, <a data-card-link='Damn'>Damn</a>, <a data-card-link='Fell the Profane'>Fell</a>, <a data-card-link='Flare of Malice'>Flare</a>, <a data-card-link='Shadowspear'>Shadowspear</a>, <a data-card-link='Treacherous Greed'>Greed</a>, <a data-card-link='Ruthless Lawbringer'>Lawbringer</a>.</p><p><strong>Drain:</strong> <a data-card-link='Sanctum Seeker'>Seeker</a>, <a data-card-link='Vito, Thorn of the Dusk Rose'>Vito</a>, <a data-card-link='Carmen, Cruel Skymarcher'>Carmen</a>, <a data-card-link='Twilight Prophet'>Prophet</a>.</p><p><strong>Draw:</strong> <a data-card-link='Baron Bertram Graywater'>Bertram</a>, <a data-card-link='Alhammarret&#39;s Archive'>Archive</a>, <a data-card-link='Twilight Prophet'>Prophet</a>, <a data-card-link='Preacher of the Schism'>Preacher</a>.</p>",csv/demons.csv,"Est. ~$2,000 · Bracket 4 (Optimized)"
