ID,NAME,TITLE,DATE,LOCATION,GITHUB,MOTTO,WIN,TEXT,DECK
the-nobles,👑 The Nobles,"Edgar Markov",,,https://archidekt.com/decks/15093247/the_nobles,"Edgar's archetypal death-of-the-king warps holy matrimony into massacre",,"<p><strong>Mardu Vampires:</strong> go wide and fast; Edgar's <em>eminence</em> floods the board with Vampires.</p><p><strong>Anthem:</strong> <a data-card-link='Legion Lieutenant'>Legion Lieutenants</a> & <a data-card-link='Patchwork Banner'>Patchwork</a> & <a data-card-link='Vanquisher&#39;s Banner'>Vanquisher's Banners</a> pump the board.</p><p><strong>Tokens:</strong> <a data-card-link='Anointed Procession'>Anointed Procession</a> & <a data-card-link='Ojer Taq, Deepest Foundation'>Ojer Taq</a> double & triple Vampire generation.</p><p><strong>Scaling:</strong> <a data-card-link='Roaming Throne'>Roaming Throne</a> doubles Edgar's triggers.</p><p><strong>Ramp:</strong> <a data-card-link='Sol Ring'>Sol Ring</a>, <a data-card-link='White Lotus Tile'>White Lotus Tile</a> & <a data-card-link='Seal of the Guildpact'>Seal of the Guildpact</a> enable explosive plays.</p><p style='margin-top:12px;color:rgba(255,255,255,0.45);font-size:12px;'>Est. ~$1,500 · Bracket 4 (Optimized)</p>",nobles.csv
the-demons,🧛 The Demons,"Clavileño: First of the Blessed",,,https://archidekt.com/decks/15094042/the_demons,"Clavileño's dark descent invokes katabasis: Erebos standing where Aclazotz lies",,"<p><strong>Orzhov Aristocrats:</strong> weaponize death itself; Clavileño's <em>blessing</em> turns sacrifice into advantage.</p><p><strong>Sacrifice:</strong> <a data-card-link='The Golden Throne'>Golden Throne</a> & <a data-card-link='Phyrexian Tower'>Phrexian Tower</a> turn Vampires to mana, <a data-card-link='Lifeline'>Lifeline</a> recurring them.</p><p><strong>Denial:</strong> <a data-card-link='Contamination'>Contamination</a> locks mana-bases while <a data-card-link='Anowon, the Ruin Sage'>Anowon</a> forces sacrifices.</p><p><strong>Scaling:</strong> <a data-card-link='Helm of the Host'>Helm of the Host</a> multiplies Clavileño's triggers.</p><p><strong>Ramp:</strong> <a data-card-link='Jet Medallion'>Jet</a> & <a data-card-link='Pearl Medallion'>Pearl Medallions</a> & <a data-card-link='Dark Ritual'>Dark Ritual</a> provide aggressive ramping.</p><p style='margin-top:12px;color:rgba(255,255,255,0.45);font-size:12px;'>Est. ~$2,000 · Bracket 4 (Optimized)</p>",demons.csv
